"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000000003",708.597861536998,-0.381227158187325,0.100702283805298,-3.78568532690286,0.000153285545315291,0.00128920007142039,"TSPAN6"
"ENSG00000000419",520.296296925274,0.206840262096021,0.112107726736577,1.84501343588956,0.0650355841534251,0.194929095892172,"DPM1"
"ENSG00000000457",237.162103834464,0.0379541749180742,0.142823087544317,0.265742574051952,0.790437472526292,0.909900716007526,"SCYL3"
"ENSG00000000460",57.9323803212894,-0.088531364041961,0.284934405706158,-0.310707876160313,0.756022709115894,0.892994393216742,"FIRRM"
"ENSG00000000971",5817.31081674539,0.426424458656186,0.0888056168111086,4.80177351352899,1.57266511329261e-06,2.06392265814355e-05,"CFH"
"ENSG00000001036",1282.10068817841,-0.241043043740451,0.0889938363367926,-2.70853638479227,0.00675807015396155,0.0334600551939139,"FUCA2"
"ENSG00000001084",609.888711231609,-0.0475900021915753,0.166635768610566,-0.28559295875302,0.775189897046111,0.902577918482306,"GCLC"
"ENSG00000001167",369.340563608024,-0.500318722774707,0.120567882322924,-4.14968491720435,3.32933237558058e-05,0.000329678865439149,"NFYA"
"ENSG00000001460",183.236892721017,-0.123910159171688,0.179048829411195,-0.692046742663264,0.488907975314536,0.720495963621421,"STPG1"
"ENSG00000001461",2813.83742255416,-0.0410346943213332,0.102975769935496,-0.398488832344125,0.690269888669381,0.856932642511963,"NIPAL3"
"ENSG00000001497",539.821574730882,-0.00402121522978472,0.106625407223251,-0.037713480628169,0.969916127656771,0.988354131567095,"LAS1L"
"ENSG00000001561",114.037077799749,0.225086414653549,0.215180422319881,1.04603575096131,0.295544526635124,0.543746444677538,"ENPP4"
"ENSG00000001617",598.664307018364,-0.250209878827992,0.108241910376375,-2.3115804031726,0.020800817605287,0.0819642842613555,"SEMA3F"
"ENSG00000001626",5.76493538185727,-1.08669737187558,0.785342448480573,-1.3837242262634,0.166442912556576,0.379922878136211,"CFTR"
"ENSG00000001629",1779.81786317606,-0.226647318850755,0.0809829675386372,-2.79870355136864,0.0051308219045002,0.0267241422824805,"ANKIB1"
"ENSG00000001630",54.727467682366,0.0126418472950245,0.310248743530254,0.04074745686695,0.967497227880675,0.98709460298429,"CYP51A1"
"ENSG00000001631",785.449616737739,-0.0366622323373922,0.103319979471536,-0.354841653327007,0.722708221423201,0.875209848804779,"KRIT1"
"ENSG00000002016",183.859639860491,-0.310481389685888,0.159095628143794,-1.95153941882845,0.0509929118099205,0.162715304504776,"RAD52"
"ENSG00000002079",1.42772730704924,-1.97816561140671,1.82334655575858,-1.08490928680517,0.277961834416944,NA,NA
"ENSG00000002330",178.056083595009,0.089026877259572,0.154226487838213,0.577247647323483,0.56377217396839,0.775300791872263,"BAD"
"ENSG00000002549",1253.6302802743,0.186692285337457,0.106066019776039,1.7601517029833,0.0783820883547157,0.222974616784981,"LAP3"
"ENSG00000002586",8285.39793029793,0.0897813640032419,0.0809928767903561,1.10850938454297,0.267641888467728,0.512311788282092,"CD99"
"ENSG00000002745",6.89982954221215,-0.268218237191283,0.770920109536569,-0.347919627304208,0.727900544611695,0.877989185659665,"WNT16"
"ENSG00000002746",108.44215151566,0.102488867109842,0.19766147682292,0.51850703919236,0.604104550056678,0.803808533546488,"HECW1"
"ENSG00000002822",349.806186146653,-0.160172024719975,0.132107893134663,-1.21243342028553,0.225346514363141,0.460041951810192,"MAD1L1"
"ENSG00000002834",7168.80172554647,0.396667865383111,0.0934251770470353,4.24583477303347,2.1778107615945e-05,0.000226602906249694,"LASP1"
"ENSG00000002919",250.507676868456,0.404421812082915,0.139588474212363,2.89724358952193,0.00376457331041352,0.0205083945418056,"SNX11"
"ENSG00000002933",540.277871458637,0.361112726584264,0.146307699242353,2.46817309310631,0.0135804632848732,0.0583749496907825,"TMEM176A"
"ENSG00000003056",1065.26652768511,-0.0725412510511104,0.0923741136617995,-0.785298480012471,0.432278586798026,0.674820143463077,"M6PR"
"ENSG00000003096",377.975261226872,-0.940944989627911,0.143511100975238,-6.5566007314672,5.50481401273395e-11,1.3844184975958e-09,"KLHL13"
"ENSG00000003137",104.515194808615,-0.897048629924109,0.291000941137734,-3.08263137025225,0.00205179145069619,0.0123285249713274,"CYP26B1"
"ENSG00000003249",116.349026825881,-0.280248547701856,0.193329641940879,-1.44958913122881,0.147173128683536,0.350525142837344,"DBNDD1"
"ENSG00000003393",851.090875287858,0.171929432991573,0.0958496865576346,1.79374016928257,0.0728546506020865,0.211582390023647,"ALS2"
"ENSG00000003400",80.1567179115993,-0.407996423541284,0.225638603880997,-1.80818537485927,0.0705776540683501,0.206868702561848,"CASP10"
"ENSG00000003402",2546.60932638954,1.19046735925405,0.121018690344384,9.8370537300174,7.79604652332785e-23,6.59992069993652e-21,"CFLAR"
"ENSG00000003436",4469.50766637531,-0.196579667000012,0.150245410235456,-1.30839049720017,0.190740894137839,0.414690113707924,"TFPI"
"ENSG00000003509",290.814036626452,-0.0510530904082183,0.135437420123773,-0.376949666949963,0.706211010331134,0.865578910976822,"NDUFAF7"
"ENSG00000003756",2117.4540032691,-0.188724121825569,0.0954928007359296,-1.97631779957377,0.0481187948874566,0.156113369811194,"RBM5"
"ENSG00000003987",25.5043393924387,1.00486963616985,0.369399806894577,2.72027656055768,0.00652273374134739,0.0324463268479934,"MTMR7"
"ENSG00000003989",38.4395982983182,0.553330856305947,0.376840975048231,1.46834047501105,0.142011761765426,0.341661919700355,"SLC7A2"
"ENSG00000004059",1225.35049139531,0.366615487685359,0.0885338961411265,4.14096186505741,3.45852462580881e-05,0.000341179548274858,"ARF5"
"ENSG00000004139",84.8823311299562,-0.166308109921415,0.219115459140672,-0.758997610545797,0.447853986157994,0.687410885120952,"SARM1"
"ENSG00000004142",1460.1152046866,0.143590480511636,0.0871915450097425,1.64683950141716,0.0995910396920687,0.264753888799555,"POLDIP2"
"ENSG00000004399",3634.48000337917,-0.0389706957263853,0.112905260109431,-0.345162800108814,0.729971983361171,0.878885008548764,"PLXND1"
"ENSG00000004455",1224.83463534404,0.0301596187281249,0.120059029222305,0.251206584989791,0.801654393687266,0.915168606776683,"AK2"
"ENSG00000004468",1.31743599562979,-1.0318149419643,1.61611135119342,-0.63845535222703,0.52317730892421,NA,"CD38"
"ENSG00000004478",466.434730395202,-0.0734077239913006,0.113668801005378,-0.645803627222454,0.518406538646971,0.741503724557009,"FKBP4"
"ENSG00000004487",1237.79398066331,-0.299477788098142,0.0879093167700811,-3.40666722369597,0.000657612523207366,0.00465022314450009,"KDM1A"
"ENSG00000004534",1285.22373211664,-0.188117975112458,0.0918003151521814,-2.04920838017394,0.0404417429767812,0.136896097119827,"RBM6"
"ENSG00000004660",78.1195925996948,-0.565012679343521,0.267339722013765,-2.11346325599317,0.0345611367667991,0.121459056359174,"CAMKK1"
"ENSG00000004700",1035.32737267248,0.368616461224026,0.101875971985025,3.61828656985193,0.000296559919836831,0.00231396299199383,"RECQL"
"ENSG00000004766",478.923781348217,-0.0302417622748288,0.11242798533064,-0.268987851964887,0.787939030991874,0.908830807964164,"VPS50"
"ENSG00000004776",2774.54856159919,-0.073804192468548,0.0897769596091094,-0.822083893126843,0.411029151833295,0.65698914466047,"HSPB6"
"ENSG00000004777",97.180969277096,-0.409044860321926,0.212967601025184,-1.92069055740341,0.0547707307523901,0.17170128945186,"ARHGAP33"
"ENSG00000004779",365.675340229343,0.104416019167422,0.127597915592828,0.818320727907653,0.4131740733356,0.65891526403003,"NDUFAB1"
"ENSG00000004799",914.370594679048,2.6449559805897,0.628583021293498,4.20780691013083,2.57861054232289e-05,0.000263441956369214,"PDK4"
"ENSG00000004838",12.8073767201223,-0.414267058234949,0.548785872861142,-0.75487923199468,0.450321447904094,0.689613278013302,"ZMYND10"
"ENSG00000004846",17.9989448799634,-1.69756957289277,0.553486214942597,-3.06704941706421,0.00216183114192432,0.0128909190314746,"ABCB5"
"ENSG00000004864",150.441868371746,-0.000629805060092087,0.172485402853603,-0.00365135280825262,0.997086648441903,0.998748274897478,"SLC25A13"
"ENSG00000004866",412.126309009694,-0.562071058116771,0.135912053809686,-4.13554973500602,3.54105909375451e-05,0.000348169066399683,"ST7"
"ENSG00000004897",1518.08067451679,0.0542094449425297,0.0882332746469381,0.614387771047223,0.538959114837925,0.757247215112784,"CDC27"
"ENSG00000004961",437.43128865745,-0.146655372232844,0.132984222767896,-1.10280279254486,0.270112815146013,0.515351507494934,"HCCS"
"ENSG00000004975",991.980595876841,-0.320025890606076,0.0977154647586738,-3.27507924560804,0.0010563233766234,0.00700537812698534,"DVL2"
